inchikey	drugbank_id	pubchem_cid	bioavailability	bioavailability_evidence	bioavailability_source	clearance	clearance_evidence	clearance_source	half_life	half_life_evidence	half_life_source	volume_of_distribution	volume_of_distribution_evidence	volume_of_distribution_source	ld50	ld50_evidence	ld50_source	mutagenicity	mutagenicity_evidence	mutagenicity_source	fetch_date	source_version
OXKRFEWMSWPKKV-GHTZIAJQSA-N	DB06090			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXLKOMYHDYVIDM-UHFFFAOYSA-N	DB13465	121283140		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXLZNBCNGJWPRV-UHFFFAOYSA-N	DB08957	50112775		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXNIZHLAWKMVMX-UHFFFAOYSA-N	DB03651			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXPCRXLITLBLEY-ZVNFQBCFSA-N	DB01806			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXTOFRAJJGNAEW-UHFFFAOYSA-N	DB20942			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXTSYWDBUVRXFF-GDLZYMKVSA-N	DB18028			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXTYVEUAQHPPMV-UHFFFAOYSA-N	DB20618	144205555		none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXUUJYOSVPMNKP-ZANJDRPYSA-N	DB12514			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXVFDZYQLGRLCD-UHFFFAOYSA-N	DB15021			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
OXYDLVAOXASTMW-UHFFFAOYSA-N	DB08006			none	none		none	none		none	none		none	none		none	none		none	none	2026-04-12	DrugBank:5.1|exported-on:2026-01-04;molecule_xref_core_v2
