inchikey	chembl_id	drugbank_id	pubchem_cid	match_strategy	confidence	xref_source	fetch_date	source_version
VDYCDKRATGWFDA-UHFFFAOYSA-N	CHEMBL303041	DB02295		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEAPUAUNTSIGKZ-MBNYWOFBSA-N	CHEMBL2111130	DB21429		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEBKSFPYWMOUBR-UHFFFAOYSA-N		DB07797		drugbank_inchikey_seed;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEDDBHYQWFOITD-UHFFFAOYSA-N	CHEMBL184410	DB02822		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEDTXTNSFWUXGQ-UHFFFAOYSA-N	CHEMBL452866	DB20408	144206910;144211743;225144271;29217928	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEGKZYFYGCWXMN-UHFFFAOYSA-N	CHEMBL209740	DB07276		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEGXETMJINRLTH-BOZYPMBZSA-N	CHEMBL194126	DB04729		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEHPZKIFULQYFS-BZXVCXBKSA-N		DB03530		drugbank_inchikey_seed;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEJCBCPEURAYAS-MEAXDALNSA-N		DB08330		drugbank_inchikey_seed;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEKRIXRQADJFAG-QMMMGPOBSA-N		DB02911		drugbank_inchikey_seed;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VENHBDIMAAXWKI-UHFFFAOYSA-N		DB07684		drugbank_inchikey_seed;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEPKQEUBKLEPRA-UHFFFAOYSA-N	CHEMBL119385	DB07138	103905630;124950172;174006470	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEQOALNAAJBPNY-UHFFFAOYSA-N	CHEMBL277474	DB01435	104171279;11112159;144203893;144208798;144213343;170465510;26753718;56320742	drugbank_inchikey_seed;seed_v1	high	chembl_36.db;drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEQPNABPJHWNSG-UHFFFAOYSA-N		DB14204		drugbank_inchikey_seed;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VERCTSZYCODNLU-DEDYPNTBSA-N		DB08364		drugbank_inchikey_seed;seed_v1	medium	drug_master_v1;drug_xref_molecules_v1	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VERWOWGGCGHDQE-UHFFFAOYSA-N	CHEMBL2403108	DB09063		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEUGOXRZHKYDED-UHFFFAOYSA-N	CHEMBL2111040	DB21052		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEVMYTDOWUQLGI-UHFFFAOYSA-N	CHEMBL4303411	DB16249		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
VEVSKUJZSMGTMM-UHFFFAOYSA-N	CHEMBL2110781	DB13788		drugbank_inchikey_seed;seed_v1	high	drug_master_v1;drug_xref_molecules_v1;molecules_m1.sqlite	2026-04-12	ChEMBL:chembl_36.db;ChEMBL:molecules_m1.sqlite;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_chembl_36_compound_records;v1:ChEMBL:m1_sqlite_chembl36;DrugBank:5.1|exported-on:2026-01-04;PubChemCID:from_ChEMBL_36_compound_records
